image_name,cucumber,chicken,shrimp,brocolli,bean,salmon,pork,rice,pumpkin,egg_dish,nut,carrot,king_oyster,vegetable,winter_melon,mango,avocado,baby_corn,beef,sprout,eggplant,mushroom,potato,brocoli,corn,toast,onion,cabbage,egg,green_pepper,green_bean,tofu,fish,tomato,lemon,yam,high,calories,protein,fat,carbs,GMM
韓式菇菇雞,0.0,0.43728556585337247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023061533822380884,0.0,0.1790313419480623,0.0,0.0,0.0,0.11247462772250465,0.07672271584474812,0.0,0.08155626028198877,0.0,0.0,0.0,0.0,0.08986795452694284,0.43728556585337247,526.3,14.529504906383826,2.001305586723938,3.787961199788277,4.27977115829358
香滷雞腿,0.0,0.34136503164005755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024920690289638094,0.0,0.1968577821178606,0.0,0.0,0.0,0.07908117246189958,0.1081840180817069,0.0,0.09208545545626895,0.0,0.0,0.0,0.0,0.15750584995256828,0.34136503164005755,601.7,11.829417370242801,1.8193862047323337,5.52052010919982,4.348723232592993
鷹嘴豆咖哩,0.0,0.0,0.0,0.0,0.35412688221217736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06207386871334569,0.0,0.16012412362237383,0.0,0.0,0.0,0.1418981388777286,0.10831965019393246,0.0,0.04542497397942667,0.0,0.0,0.0,0.0,0.12803236240101526,0.0,623.9,8.740170105860779,0.8795999622771675,17.305585950570173,4.451680589700356
鹽烤鯖魚,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025847779981097403,0.0,0.13526629867874754,0.0,0.0,0.0,0.1768565045743747,0.1153130947994206,0.0,0.0826437768454419,0.0,0.3281452505696314,0.0,0.05070737068739378,0.0852199238638928,0.3281452505696314,542.3,7.8553578155658546,2.267782459052504,4.077791085578614,3.9008792365358533
麻香口水雞,0.0,0.3974475226520302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04170609502370188,0.0,0.15144789222542349,0.0,0.0,0.0,0.1616769320769644,0.1082137136446141,0.0,0.05268833323838644,0.0,0.0,0.0,0.0,0.08681951113887942,0.3974475226520302,578.5,13.541059714036871,2.019778789246751,3.8824239477464193,4.24642465287586
02算來算去涮涮牛,0.14814811128678776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03251462270584516,0.0,0.0,0.0,0.0,0.0,0.0,0.39459855925806264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19742658955251646,0.07582276318848882,0.0,0.0,0.0,0.0,0.07855478438364227,0.0,0.07293456962465689,0.39459855925806264,582.0,11.276814279412768,6.363638494390546,4.323938416665147,5.222511924449528
03如魚得水水煮魚,0.168016618559552,0.0,0.0,0.0,0.0,0.0,0.0,0.07486345645297887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12677809081010077,0.0,0.0,0.0,0.4297448882589834,0.11672096721226473,0.0,0.08387597870612026,0.4297448882589834,529.0,9.695639950654199,2.8328285147000365,3.41750247377154,4.1341810476363605
05力爭上游鮮鮭魚,0.13650487461550492,0.0,0.0,0.0,0.0,0.0,0.0,0.12845002867420885,0.0,0.0,0.0,0.019925968406235336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06703508680465044,0.12396642510817997,0.0,0.0,0.0,0.2922423231322663,0.10988478181533809,0.0,0.12199051144361608,0.2922423231322663,588.0,7.064334237005369,2.1409239872790775,4.883268286325009,3.9159503216973017
07浩克小肌雞胸,0.17260644554222535,0.4602606873249075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11098992750368897,0.0,0.0,0.0,0.0,0.1329687132439426,0.0,0.12317422638523556,0.4602606873249075,556.0,15.350648243194113,2.2697859861850684,4.5507343191976215,4.611392004169991
08清新脫俗素餐盒,0.193081944495095,0.0,0.0,0.0,0.0,0.0,0.0,0.2571113380256008,0.0,0.0,0.0,0.05984008606542431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18199099230516758,0.12422504649721017,0.0,0.0,0.0,0.0,0.09452609314029393,0.0,0.0892244994712082,0.0,384.0,1.3802081433937492,0.7003590313992925,5.192600926297363,1.4684969987550245
